author;title;pageCount
Jane Austen;Pride and Prejudice;279
Leo Tolstoy;War and Peace;1225
Fyodor Dostoevsky;Crime and Punishment;671
Alexander Pushkin;Eugene Onegin;352
Mark Twain;The Adventures of Tom Sawyer;281
Homer;The Odyssey;444
Miguel de Cervantes;Don Quixote;863
Gabriel Garcia Marquez;One Hundred Years of Solitude;422
Chingiz Aitmatov;The Scaffold;356
George Orwell;Nineteen Eighty-Four;328
Ernest Hemingway;The Old Man and the Sea;127
William Shakespeare;Hamlet;202
Antoine de Saint-Exupéry;The Little Prince;96
Arthur Conan Doyle;The Hound of the Baskervilles;174
Stephen King;It;1138
J.K. Rowling;Harry Potter and the Philosopher's Stone;223
Jules Verne;Around the World in Eighty Days;187
F. Scott Fitzgerald;The Great Gatsby;180
J.R.R. Tolkien;The Lord of the Rings;1178
Ray Bradbury;Fahrenheit Four Fifty-One;256
